frame,tipo_objeto,confianza,tracking_id,x1,y1,x2,y2,matricula_conf,mx1,my1,mx2,my2,texto_matricula
25,car,0.7233155369758606,3,1072,585,1180,690,0.0,0,0,0,0,
26,car,0.9182766675949097,1,1151,541,1478,787,0.8292248845100403,1239,639,1331,680,03871 LLLI
26,person,0.8331486582756042,2,1800,540,1869,734,0.0,0,0,0,0,
26,car,0.759736180305481,3,1073,586,1184,690,0.0,0,0,0,0,
26,car,0.5085164308547974,4,0,562,88,619,0.0,0,0,0,0,
26,car,0.5328299403190613,7,108,523,397,673,0.0,0,0,0,0,
27,car,0.919478178024292,1,1152,541,1479,787,0.5267568826675415,1152,541,1219,605,
27,person,0.8382521271705627,2,1800,540,1870,734,0.0,0,0,0,0,
27,car,0.778556764125824,3,1075,588,1191,689,0.6024758219718933,1117,647,1156,668,
27,car,0.5817074179649353,10,1858,597,1919,690,0.0,0,0,0,0,
27,car,0.5123013854026794,4,0,562,87,620,0.0,0,0,0,0,
27,car,0.6408305764198303,7,107,523,395,675,0.0,0,0,0,0,
28,car,0.9174010753631592,1,1153,541,1479,787,0.8198001384735107,1244,640,1337,680,03871 LIE
28,person,0.8323932886123657,2,1800,540,1870,734,0.0,0,0,0,0,
28,car,0.799090564250946,3,1076,588,1192,689,0.0,0,0,0,0,
28,car,0.5664293766021729,10,1858,597,1919,690,0.0,0,0,0,0,
28,car,0.5152928829193115,4,0,562,85,619,0.0,0,0,0,0,
28,car,0.5508161783218384,7,106,524,389,677,0.0,0,0,0,0,
29,car,0.9141541719436646,1,1155,541,1480,786,0.8009895086288452,1243,638,1340,681,03871 LIE
29,person,0.8379882574081421,2,1800,541,1870,733,0.0,0,0,0,0,
29,car,0.8196161389350891,3,1078,588,1191,689,0.0,0,0,0,0,
29,car,0.5881941914558411,10,1857,597,1919,690,0.0,0,0,0,0,
29,car,0.5137776136398315,4,0,562,82,619,0.0,0,0,0,0,
29,car,0.6803885698318481,7,103,524,386,677,0.0,0,0,0,0,
30,car,0.9160789251327515,1,1157,540,1480,785,0.5609580874443054,1157,540,1223,605,
30,person,0.8417550325393677,2,1800,542,1869,735,0.0,0,0,0,0,
30,car,0.8392914533615112,3,1079,588,1192,688,0.0,0,0,0,0,
30,car,0.5351041555404663,10,1857,597,1919,689,0.0,0,0,0,0,
30,car,0.5064250230789185,4,0,562,80,618,0.0,0,0,0,0,
30,car,0.642882764339447,7,101,524,382,677,0.0,0,0,0,0,
31,car,0.9250914454460144,1,1158,540,1480,785,0.58633953332901,1158,540,1223,605,
31,person,0.8467339277267456,2,1801,543,1869,735,0.0,0,0,0,0,
31,car,0.8320800065994263,3,1080,588,1192,688,0.0,0,0,0,0,
31,car,0.535843551158905,4,0,561,78,615,0.0,0,0,0,0,
31,car,0.6809735298156738,7,96,523,379,678,0.0,0,0,0,0,
32,car,0.9155517220497131,1,1159,539,1479,784,0.8273223042488098,1245,639,1345,683,43871 LTD
32,person,0.855253279209137,2,1800,544,1869,735,0.0,0,0,0,0,
32,car,0.8388845324516296,3,1081,589,1192,687,0.0,0,0,0,0,
32,car,0.5491250157356262,4,0,561,75,614,0.0,0,0,0,0,
33,car,0.9222004413604736,1,1160,539,1479,784,0.8256263136863708,1246,639,1345,682,13871 LD
33,person,0.8506362438201904,2,1800,544,1868,734,0.0,0,0,0,0,
33,car,0.8497434854507446,3,1081,589,1192,687,0.0,0,0,0,0,
33,car,0.502518892288208,4,0,561,78,614,0.0,0,0,0,0,
34,car,0.9117797613143921,1,1161,539,1479,784,0.6691482067108154,1161,554,1227,608,
34,person,0.8457262516021729,2,1799,544,1868,734,0.0,0,0,0,0,
34,car,0.8428885340690613,3,1082,589,1192,686,0.0,0,0,0,0,
34,car,0.5110267400741577,4,0,561,73,612,0.0,0,0,0,0,
35,car,0.9149461388587952,1,1163,538,1479,783,0.8184903860092163,1249,639,1346,681,03871 LTD
35,person,0.850428581237793,2,1799,545,1867,734,0.0,0,0,0,0,
