epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,357.02,1.00171,0.59731,1.1255,0.98922,0.98113,0.98542,0.59426,1.28236,0.59074,1.30662,0.000944,0.000944,0.000944
82,361.11,0.99631,0.57143,1.11826,1,0.95856,0.98458,0.58968,1.30674,0.57044,1.31151,0.0009308,0.0009308,0.0009308
83,365.257,0.96747,0.56264,1.09644,0.9946,0.9434,0.9833,0.61126,1.29116,0.56209,1.28252,0.0009176,0.0009176,0.0009176
84,369.235,0.98245,0.57224,1.11561,1,0.9592,0.99142,0.62084,1.21572,0.53324,1.26558,0.0009044,0.0009044,0.0009044
85,373.29,0.97684,0.57152,1.09529,0.96838,0.96226,0.98462,0.60325,1.21768,0.59982,1.29191,0.0008912,0.0008912,0.0008912
86,377.447,0.9395,0.57353,1.09692,0.99104,0.98113,0.99035,0.58272,1.24932,0.60118,1.29226,0.000878,0.000878,0.000878
87,381.42,0.93456,0.53598,1.07806,0.9906,0.98113,0.9855,0.66515,1.08088,0.53675,1.17647,0.0008648,0.0008648,0.0008648
88,385.437,0.97201,0.56568,1.10015,0.98948,0.98113,0.98547,0.63233,1.16658,0.59833,1.24046,0.0008516,0.0008516,0.0008516
89,389.511,0.94031,0.5643,1.09601,0.99164,0.98113,0.98538,0.62849,1.15791,0.54404,1.24207,0.0008384,0.0008384,0.0008384
90,393.6,0.96647,0.59435,1.1009,0.98964,0.98113,0.98549,0.65049,1.12246,0.51857,1.23495,0.0008252,0.0008252,0.0008252
91,397.664,0.98485,0.58331,1.12729,1,0.97669,0.98544,0.59442,1.29848,0.57013,1.32451,0.000812,0.000812,0.000812
92,401.664,0.93261,0.55256,1.08617,0.98271,0.96226,0.9849,0.66947,1.10414,0.51339,1.15813,0.0007988,0.0007988,0.0007988
93,405.818,0.93806,0.55188,1.07824,1,0.95775,0.98477,0.62155,1.20407,0.63297,1.27708,0.0007856,0.0007856,0.0007856
94,409.811,0.92542,0.53415,1.07544,0.98437,0.98113,0.9852,0.64252,1.1634,0.56222,1.24777,0.0007724,0.0007724,0.0007724
95,413.733,0.9476,0.53246,1.08507,0.98486,0.98113,0.98525,0.63236,1.1548,0.54412,1.20987,0.0007592,0.0007592,0.0007592
96,417.922,0.96488,0.55914,1.1,0.97906,0.98113,0.98558,0.69441,1.03047,0.46308,1.10714,0.000746,0.000746,0.000746
97,422.285,0.95931,0.59226,1.08125,0.97593,0.98113,0.98573,0.59849,1.236,0.55509,1.28383,0.0007328,0.0007328,0.0007328
98,426.311,0.95288,0.56322,1.09862,0.97518,0.98113,0.9855,0.6183,1.21949,0.55794,1.26866,0.0007196,0.0007196,0.0007196
99,430.35,0.90631,0.52972,1.08299,0.98046,0.94682,0.985,0.61644,1.33185,0.53383,1.31518,0.0007064,0.0007064,0.0007064
100,434.376,0.91096,0.53041,1.08237,0.98249,0.9434,0.98392,0.60665,1.25567,0.53014,1.26042,0.0006932,0.0006932,0.0006932
101,438.421,0.89094,0.50521,1.05386,0.98045,0.9463,0.98416,0.61991,1.20267,0.50806,1.23956,0.00068,0.00068,0.00068
102,442.472,0.93093,0.53923,1.05755,0.9949,0.98113,0.98572,0.64019,1.18714,0.51312,1.20902,0.0006668,0.0006668,0.0006668
103,446.462,0.92009,0.55031,1.09048,0.98646,0.98113,0.98565,0.63024,1.20101,0.5212,1.23327,0.0006536,0.0006536,0.0006536
104,450.489,0.89495,0.52038,1.06472,0.97438,0.98113,0.98511,0.65113,1.16782,0.50881,1.23693,0.0006404,0.0006404,0.0006404
105,454.577,0.90542,0.52485,1.07905,0.9676,0.96226,0.98508,0.63914,1.22503,0.52673,1.29156,0.0006272,0.0006272,0.0006272
106,458.528,0.88518,0.51811,1.05502,0.99307,0.96226,0.98592,0.65275,1.1862,0.49355,1.2358,0.000614,0.000614,0.000614
107,462.536,0.90396,0.52173,1.07284,1,0.96011,0.98534,0.64375,1.29192,0.52678,1.28471,0.0006008,0.0006008,0.0006008
108,466.539,0.84646,0.49275,1.05111,0.96246,0.96753,0.98397,0.6497,1.18453,0.49227,1.2256,0.0005876,0.0005876,0.0005876
109,470.707,0.88639,0.51862,1.06428,0.97707,0.96226,0.98491,0.66052,1.17152,0.47605,1.22677,0.0005744,0.0005744,0.0005744
110,474.641,0.88552,0.5253,1.06488,0.9628,0.97686,0.98488,0.62646,1.22434,0.49753,1.27157,0.0005612,0.0005612,0.0005612
111,478.582,0.9031,0.53728,1.07909,0.98231,0.96226,0.985,0.58727,1.36187,0.5742,1.37858,0.000548,0.000548,0.000548
112,482.645,0.90311,0.51137,1.04952,0.98104,0.9765,0.98496,0.63929,1.16593,0.53445,1.21961,0.0005348,0.0005348,0.0005348
113,486.621,0.88847,0.51153,1.06003,0.97286,0.96226,0.98639,0.58037,1.35001,0.57357,1.34496,0.0005216,0.0005216,0.0005216
114,490.651,0.90669,0.53975,1.07508,0.97495,0.96226,0.98453,0.62026,1.16451,0.54193,1.233,0.0005084,0.0005084,0.0005084
115,494.577,0.90936,0.52482,1.06946,0.98342,0.96226,0.98489,0.64002,1.16969,0.5144,1.23411,0.0004952,0.0004952,0.0004952
116,498.603,0.89189,0.51966,1.05931,0.98066,0.98113,0.98489,0.63863,1.08514,0.50408,1.19747,0.000482,0.000482,0.000482
117,502.625,0.89699,0.50086,1.0549,0.99261,0.98113,0.98563,0.6387,1.18148,0.4939,1.24761,0.0004688,0.0004688,0.0004688
118,506.607,0.85213,0.50325,1.05639,0.99214,0.98113,0.98597,0.66151,1.12482,0.46946,1.19839,0.0004556,0.0004556,0.0004556
119,510.822,0.85061,0.48379,1.04889,0.98173,0.98113,0.98576,0.6557,1.13447,0.4956,1.18761,0.0004424,0.0004424,0.0004424
120,514.928,0.8614,0.4956,1.06237,0.97549,0.98113,0.98434,0.60073,1.23508,0.54289,1.26063,0.0004292,0.0004292,0.0004292
121,518.82,0.87018,0.5156,1.05646,0.97459,0.98113,0.98501,0.59893,1.24509,0.57391,1.26215,0.000416,0.000416,0.000416
122,522.725,0.85175,0.5021,1.04805,0.98017,0.98113,0.98512,0.6533,1.10077,0.51811,1.17176,0.0004028,0.0004028,0.0004028
123,526.768,0.84772,0.50312,1.03571,0.98017,0.98113,0.98532,0.67731,1.10096,0.49045,1.17352,0.0003896,0.0003896,0.0003896
124,530.774,0.82591,0.47154,1.02564,0.99327,0.98113,0.98598,0.68929,1.07968,0.45328,1.1659,0.0003764,0.0003764,0.0003764
125,534.719,0.90008,0.52244,1.04999,0.98978,0.98113,0.98603,0.67124,1.0924,0.47028,1.17596,0.0003632,0.0003632,0.0003632
126,538.677,0.86667,0.4883,1.04604,0.9864,0.98113,0.98603,0.63671,1.16752,0.50715,1.22275,0.00035,0.00035,0.00035
127,542.809,0.86374,0.47719,1.04551,0.97775,0.98113,0.98588,0.63104,1.18444,0.51406,1.21456,0.0003368,0.0003368,0.0003368
128,546.881,0.87533,0.51652,1.04944,0.98,0.98113,0.98569,0.63658,1.25838,0.52006,1.25637,0.0003236,0.0003236,0.0003236
129,550.942,0.86716,0.4961,1.04166,0.98356,0.98113,0.98549,0.63076,1.21938,0.51537,1.23176,0.0003104,0.0003104,0.0003104
130,554.919,0.87181,0.49775,1.05234,0.99828,0.98113,0.98547,0.6341,1.15522,0.51067,1.22471,0.0002972,0.0002972,0.0002972
131,559.028,0.83603,0.47489,1.02491,0.98613,0.98113,0.98554,0.60297,1.26987,0.53076,1.29656,0.000284,0.000284,0.000284
132,563.123,0.83261,0.50217,1.04021,0.99517,0.98113,0.98563,0.65311,1.21343,0.51079,1.23258,0.0002708,0.0002708,0.0002708
133,567.2,0.79744,0.46515,1.01214,0.99884,0.98113,0.98562,0.65103,1.18141,0.50955,1.21745,0.0002576,0.0002576,0.0002576
134,571.356,0.84399,0.48463,1.04577,0.988,0.98113,0.98572,0.62573,1.24352,0.51189,1.25547,0.0002444,0.0002444,0.0002444
135,575.456,0.80631,0.47254,1.02042,0.98385,0.98113,0.98582,0.61979,1.24761,0.52848,1.26371,0.0002312,0.0002312,0.0002312
136,579.618,0.8362,0.48997,1.03533,0.98158,0.96226,0.98541,0.66376,1.10079,0.49727,1.17789,0.000218,0.000218,0.000218
137,583.723,0.83154,0.49364,1.03344,0.99629,0.98113,0.98587,0.65071,1.16351,0.49234,1.21396,0.0002048,0.0002048,0.0002048
138,587.943,0.82563,0.48467,1.0325,0.99465,0.98113,0.98596,0.63611,1.25356,0.49961,1.27206,0.0001916,0.0001916,0.0001916
139,592.186,0.82964,0.49515,1.03671,0.99541,0.98113,0.9859,0.66549,1.1578,0.47641,1.21792,0.0001784,0.0001784,0.0001784
140,596.426,0.80463,0.44971,1.02353,0.99577,0.98113,0.98583,0.66678,1.10513,0.47616,1.19509,0.0001652,0.0001652,0.0001652
141,620.129,0.65264,0.45301,0.92767,0.99237,0.98113,0.98581,0.66726,1.108,0.46979,1.19892,0.000152,0.000152,0.000152
142,624.029,0.6682,0.37687,0.91238,0.99578,0.98113,0.98601,0.6613,1.11269,0.45356,1.19233,0.0001388,0.0001388,0.0001388
143,627.879,0.60921,0.3483,0.89502,0.99722,0.98113,0.98629,0.65442,1.11352,0.44845,1.17891,0.0001256,0.0001256,0.0001256
144,631.819,0.63749,0.34857,0.92427,0.99218,0.98113,0.9868,0.67679,1.0957,0.44627,1.1541,0.0001124,0.0001124,0.0001124
145,635.987,0.62698,0.33443,0.90261,0.99488,0.98113,0.98704,0.67575,1.10757,0.446,1.17238,9.92e-05,9.92e-05,9.92e-05
146,639.861,0.62677,0.33811,0.91645,0.9964,0.98113,0.98703,0.66999,1.12271,0.4411,1.19303,8.6e-05,8.6e-05,8.6e-05
147,643.699,0.60825,0.33094,0.89932,0.99649,0.98113,0.98695,0.67109,1.11592,0.44605,1.19227,7.28e-05,7.28e-05,7.28e-05
148,647.806,0.62235,0.33504,0.91832,1,0.97798,0.98703,0.69205,1.08583,0.44458,1.16194,5.96e-05,5.96e-05,5.96e-05
149,651.77,0.60392,0.32675,0.8988,0.99232,0.98113,0.987,0.69295,1.07415,0.44173,1.14993,4.64e-05,4.64e-05,4.64e-05
150,655.766,0.61006,0.32349,0.89403,0.99429,0.98113,0.9871,0.69619,1.07718,0.44411,1.15415,3.32e-05,3.32e-05,3.32e-05
